  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [0, 2, 4, 6], [1, 3, 4, 6], [1, 2, 5, 6], [0, 3, 4, 7], [0, 2, 5, 7], [1, 3, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [0, 2, 4, 6], [1, 3, 4, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 2, 5, 7], [1, 3, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [0, 2, 4, 6], [1, 2, 5, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 3, 4, 7], [1, 3, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [1, 2, 4, 6], [0, 3, 4, 6], [0, 2, 5, 6], [1, 3, 4, 7], [1, 2, 5, 7], [0, 3, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [1, 2, 4, 6], [0, 3, 4, 6], [1, 3, 5, 6], [0, 2, 4, 7], [1, 2, 5, 7], [0, 3, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [1, 2, 4, 6], [0, 2, 5, 6], [1, 3, 5, 6], [0, 2, 4, 7], [1, 3, 4, 7], [0, 3, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [0, 3, 4, 6], [0, 2, 5, 6], [1, 3, 5, 6], [0, 2, 4, 7], [1, 3, 4, 7], [1, 2, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [2, 3, 4, 5], [1, 3, 4, 6], [1, 2, 5, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 3, 4, 7], [0, 2, 5, 7], [0, 1, 6, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [0, 2, 4, 6], [1, 3, 4, 6], [1, 2, 5, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 3, 4, 7], [0, 2, 5, 7], [1, 3, 5, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 1, 4, 5], [1, 2, 4, 6], [0, 3, 4, 6], [0, 2, 5, 6], [1, 3, 5, 6], [0, 2, 4, 7], [1, 3, 4, 7], [1, 2, 5, 7], [0, 3, 5, 7], [2, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [0, 1, 4, 6], [2, 3, 4, 6], [1, 2, 5, 6], [0, 3, 4, 7], [0, 1, 5, 7], [2, 3, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [0, 1, 4, 6], [2, 3, 4, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 1, 5, 7], [2, 3, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [0, 1, 4, 6], [1, 2, 5, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 3, 4, 7], [2, 3, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [1, 2, 4, 6], [0, 3, 4, 6], [0, 1, 5, 6], [2, 3, 4, 7], [1, 2, 5, 7], [0, 3, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [1, 2, 4, 6], [0, 3, 4, 6], [2, 3, 5, 6], [0, 1, 4, 7], [1, 2, 5, 7], [0, 3, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [1, 2, 4, 6], [0, 1, 5, 6], [2, 3, 5, 6], [0, 1, 4, 7], [2, 3, 4, 7], [0, 3, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [0, 3, 4, 6], [0, 1, 5, 6], [2, 3, 5, 6], [0, 1, 4, 7], [2, 3, 4, 7], [1, 2, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 3, 4, 5], [2, 3, 4, 6], [1, 2, 5, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 3, 4, 7], [0, 1, 5, 7], [0, 2, 6, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [0, 1, 4, 6], [2, 3, 4, 6], [1, 2, 5, 6], [0, 3, 5, 6], [1, 2, 4, 7], [0, 3, 4, 7], [0, 1, 5, 7], [2, 3, 5, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [0, 2, 4, 5], [1, 2, 4, 6], [0, 3, 4, 6], [0, 1, 5, 6], [2, 3, 5, 6], [0, 1, 4, 7], [2, 3, 4, 7], [1, 2, 5, 7], [0, 3, 5, 7], [1, 3, 6, 7], [4, 5, 6, 7]]
  found D=36 ell=3 circles=17 sizes=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] F=[[0, 1, 2, 3], [1, 2, 4, 5], [0, 3, 4, 5], [0, 1, 4, 6], [2, 3, 4, 6], [0, 2, 5, 6], [1, 3, 4, 7], [0, 1, 5, 7], [2, 3, 5, 7], [1, 2, 6, 7], [0, 3, 6, 7], [4, 5, 6, 7]]
