n=10 count<=32 need D+ell>=88; skeleton 7 = [[0, 1, 2, 3, 4], [5, 6, 7, 8, 9]] |Aut|=28800; q=0, orbit O=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
  derived structures at q with 1 triples: 1 classes [0.0s]
  derived structures at q with 2 triples: 3 classes [0.0s]
  derived structures at q with 3 triples: 6 classes [0.1s]
  derived structures at q with 4 triples: 14 classes [0.1s]
  derived structures at q with 5 triples: 16 classes [0.1s]
  derived structures at q with 6 triples: 18 classes [0.1s]
  derived structures at q with 7 triples: 8 classes [0.1s]
  derived structures at q with 8 triples: 2 classes [0.1s]
  derived structures at q with 9 triples: 0 classes [0.1s]
d=0 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=8 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.1s]
d=8 derived #1: status OPTIMAL, 207 (F4,L) solutions, 7 distinct F4 [16.2s]

3 isomorphism classes (skeleton 7) with some completion [17.5s]
