n=10 count<=32: need D+ell>=88; single 5-block: b4>=22, d in [5,9]
  derived structures with 1 triples: 2 classes [0.0s]
  derived structures with 2 triples: 6 classes [0.1s]
  derived structures with 3 triples: 12 classes [0.1s]
  derived structures with 4 triples: 26 classes [0.1s]
  derived structures with 5 triples: 32 classes [0.1s]
  derived structures with 6 triples: 31 classes [0.2s]
  derived structures with 7 triples: 13 classes [0.2s]
  derived structures with 8 triples: 3 classes [0.2s]
  derived structures with 9 triples: 0 classes [0.2s]
d=5 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #27: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #28: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #29: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #30: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #31: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #27: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #28: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #29: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=6 derived #30: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=7 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=8 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.6s]
d=8 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.9s]
d=8 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [1.0s]

0 isomorphism classes (single 5-block) with some completion [5.0s]
