mode=enum60 caps=none (28, 36) build time 1.6s, hereditary constraints 0
status=OPTIMAL solutions(D+ell>=60, block {0..4} forced)=720 distinct block families=30 time=1346.3s
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 6], [0, 1, 7, 8], [0, 2, 5, 8], [0, 2, 6, 7], [0, 4, 5, 7], [0, 4, 6, 8], [1, 2, 5, 7], [1, 2, 6, 8], [1, 4, 5, 8], [1, 4, 6, 7], [2, 4, 5, 6], [2, 4, 7, 8], [3, 5, 6, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 6], [0, 1, 7, 8], [0, 2, 5, 8], [0, 2, 6, 7], [0, 3, 5, 7], [0, 3, 6, 8], [1, 2, 5, 7], [1, 2, 6, 8], [1, 3, 5, 8], [1, 3, 6, 7], [2, 3, 5, 6], [2, 3, 7, 8], [4, 5, 6, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 5, 6, 7, 8], [1, 2, 5, 7], [1, 2, 6, 8], [1, 3, 5, 8], [1, 3, 6, 7], [1, 4, 5, 6], [1, 4, 7, 8], [2, 3, 5, 6], [2, 3, 7, 8], [2, 4, 5, 8], [2, 4, 6, 7], [3, 4, 5, 7], [3, 4, 6, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 7], [0, 1, 6, 8], [0, 2, 5, 8], [0, 2, 6, 7], [0, 3, 5, 6], [0, 3, 7, 8], [1, 2, 5, 6], [1, 2, 7, 8], [1, 3, 5, 8], [1, 3, 6, 7], [2, 3, 5, 7], [2, 3, 6, 8], [4, 5, 6, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 2, 5, 7], [0, 2, 6, 8], [0, 3, 5, 6], [0, 3, 7, 8], [0, 4, 5, 8], [0, 4, 6, 7], [1, 5, 6, 7, 8], [2, 3, 5, 8], [2, 3, 6, 7], [2, 4, 5, 6], [2, 4, 7, 8], [3, 4, 5, 7], [3, 4, 6, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 7], [0, 1, 6, 8], [0, 2, 5, 6], [0, 2, 7, 8], [0, 3, 5, 8], [0, 3, 6, 7], [1, 2, 5, 8], [1, 2, 6, 7], [1, 3, 5, 6], [1, 3, 7, 8], [2, 3, 5, 7], [2, 3, 6, 8], [4, 5, 6, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 5, 6, 7, 8], [1, 2, 5, 6], [1, 2, 7, 8], [1, 3, 5, 7], [1, 3, 6, 8], [1, 4, 5, 8], [1, 4, 6, 7], [2, 3, 5, 8], [2, 3, 6, 7], [2, 4, 5, 7], [2, 4, 6, 8], [3, 4, 5, 6], [3, 4, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 8], [0, 1, 6, 7], [0, 2, 5, 7], [0, 2, 6, 8], [0, 3, 5, 6], [0, 3, 7, 8], [1, 2, 5, 6], [1, 2, 7, 8], [1, 3, 5, 7], [1, 3, 6, 8], [2, 3, 5, 8], [2, 3, 6, 7], [4, 5, 6, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 8], [0, 1, 6, 7], [0, 2, 5, 7], [0, 2, 6, 8], [0, 4, 5, 6], [0, 4, 7, 8], [1, 2, 5, 6], [1, 2, 7, 8], [1, 4, 5, 7], [1, 4, 6, 8], [2, 4, 5, 8], [2, 4, 6, 7], [3, 5, 6, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 2, 5, 6], [0, 2, 7, 8], [0, 3, 5, 7], [0, 3, 6, 8], [0, 4, 5, 8], [0, 4, 6, 7], [1, 5, 6, 7, 8], [2, 3, 5, 8], [2, 3, 6, 7], [2, 4, 5, 7], [2, 4, 6, 8], [3, 4, 5, 6], [3, 4, 7, 8]]
  family sizes=[5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4] D=54 line-sets=24 ell values=[6] blocks=[[0, 1, 2, 3, 4], [0, 1, 5, 7], [0, 1, 6, 8], [0, 2, 5, 6], [0, 2, 7, 8], [0, 4, 5, 8], [0, 4, 6, 7], [1, 2, 5, 8], [1, 2, 6, 7], [1, 4, 5, 6], [1, 4, 7, 8], [2, 4, 5, 7], [2, 4, 6, 8], [3, 5, 6, 7, 8]]
