n=10 count<=32 need D+ell>=88; skeleton 14 = [[0, 1, 2, 3, 4], [0, 1, 5, 6, 7], [2, 3, 5, 8, 9]] |Aut|=32; q=0, orbit O=[0, 1, 2, 3]
  derived structures at q with 1 triples: 6 classes [0.0s]
  derived structures at q with 2 triples: 18 classes [0.0s]
  derived structures at q with 3 triples: 34 classes [0.0s]
  derived structures at q with 4 triples: 27 classes [0.0s]
  derived structures at q with 5 triples: 13 classes [0.0s]
  derived structures at q with 6 triples: 2 classes [0.1s]
  derived structures at q with 7 triples: 0 classes [0.1s]
d=0 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #27: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #28: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #29: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #30: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #31: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #32: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #33: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=5 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
