n=10 count<=32 need D+ell>=88; skeleton 13 = [[0, 1, 2, 3, 4], [0, 1, 5, 6, 7], [2, 3, 5, 6, 8]] |Aut|=48; q=0, orbit O=[0, 1, 2, 3, 5, 6]
  derived structures at q with 1 triples: 8 classes [0.0s]
  derived structures at q with 2 triples: 27 classes [0.0s]
  derived structures at q with 3 triples: 49 classes [0.0s]
  derived structures at q with 4 triples: 42 classes [0.1s]
  derived structures at q with 5 triples: 17 classes [0.1s]
  derived structures at q with 6 triples: 3 classes [0.1s]
  derived structures at q with 7 triples: 0 classes [0.1s]
d=0 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=1 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=2 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #6: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #7: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #8: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #9: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #10: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #11: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #12: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #13: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #14: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #15: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #16: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #17: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #18: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #19: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #20: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #21: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #22: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #23: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #24: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #25: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #26: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #27: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #28: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #29: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #30: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #31: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #32: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #33: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #34: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #35: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #36: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #37: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #38: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #39: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #40: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #41: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #42: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #43: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #44: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #45: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #46: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #47: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=3 derived #48: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #0: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #1: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #2: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #3: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #4: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
d=4 derived #5: status INFEASIBLE, 0 (F4,L) solutions, 0 distinct F4 [0.0s]
